gamemodes,url
Bounty,https://brawlify.com/maps/detail/Layer-Cake
Bounty,https://brawlify.com/maps/detail/Shooting-Star
Bounty,https://brawlify.com/maps/detail/Canal-Grande
Gem Grab,https://brawlify.com/maps/detail/Crystal-Arcade
Gem Grab,https://brawlify.com/maps/detail/Double-Swoosh
Gem Grab,https://brawlify.com/maps/detail/Hard-Rock-Mine
Heist,https://brawlify.com/maps/detail/Pit-Stop
Heist,https://brawlify.com/maps/detail/Bridge-Too-Far
Heist,https://brawlify.com/maps/detail/Safe-Zone
Brawl Ball,https://brawlify.com/maps/detail/Pinhole-Punt
Brawl Ball,https://brawlify.com/maps/detail/Sneaky-Fields
Brawl Ball,https://brawlify.com/maps/detail/Super-Beach
Hot Zone,https://brawlify.com/maps/detail/Dueling-Beetles
Hot Zone,https://brawlify.com/maps/detail/Open-Zone
Hot Zone,https://brawlify.com/maps/detail/Ring-Of-Fire
Knockout,https://brawlify.com/maps/detail/Belles-Rock
Knockout,https://brawlify.com/maps/detail/Goldarm-Gulch
Knockout,https://brawlify.com/maps/detail/Out-In-The-Open
